Target,Race,Gender,Age,NumberofRaters,Female_prop,Male_prop,Asian_prop,Black_prop,Latino_prop,Multi_prop,Other_prop,White_prop,Afraid,Angry,Attractive,Babyface,Disgusted,Dominant,Feminine,Happy,Masculine,Prototypic,Sad,Suitability,Surprised,Threatening,Trustworthy,Unusual,Luminance_median,Nose_Width,Nose_Length,Lip_Thickness,Face_Length,R_Eye_H,L_Eye_H,Avg_Eye_Height,R_Eye_W,L_Eye_W,Avg_Eye_Width,Face_Width_Cheeks,Face_Width_Mouth,Forehead,Pupil_Top_R,Pupil_Top_L,Asymmetry_pupil_top,Pupil_Lip_R,Pupil_Lip_L,Asymmetry_pupil_lip,BottomLip_Chin,Midcheek_Chin_R,Midcheek_Chin_L,Cheeks_avg,Midbrow_Hairline_R,Midbrow_Hairline_L,Faceshape,Heartshapeness,Noseshape,LipFullness,EyeShape,EyeSize,UpperHeadLength,MidfaceLength,ChinLength,ForeheadHeight,CheekboneHeight,CheekboneProminence,FaceRoundness,fWHR
AM-232,A,M,27.30769231,26,0.038461538,0.961538462,0.423076923,0,0.384615385,0.153846154,0.038461538,0,2.230769231,3.115384615,2.16,2.192307692,2.038461538,2.5,1.153846154,1.615384615,4.230769231,2.186046512,2.730769231,.,1.461538462,2.615384615,3,2.384615385,151,250.5,243.5,106,1107,50,48,49,156,156.5,156.25,587.5,474,408,370.5,370.5,0,372.5,370,2.5,274.5,479.5,480.5,480,303.5,310.5,0.53071364,1.239451477,1.028747433,0.095754291,0.3136,0.044263776,0.368563686,0.335365854,0.24796748,0.277326107,0.433604336,113.5,0.428184282,1.966640399
AM-233,A,M,41.17857143,28,0,1,0.678571429,0,0,0.25,0,0.071428571,1.464285714,1.392857143,1.857142857,1.714285714,1.357142857,2.5,1.153846154,2.428571429,3.964285714,2.837209302,1.75,.,1.5,1.928571429,3.178571429,2.607142857,162.5,251.5,214,108,1241,52,36.5,44.25,153,146.5,149.75,600,523,476,492,476,16,354.5,365.5,11,289,497,520,508.5,402,385.5,0.483481064,1.147227533,1.175233645,0.087026591,0.295492487,0.035656728,0.383561644,0.290088638,0.232876712,0.317284448,0.409750201,77,0.421434327,1.931384168
AM-234,A,M,27.26923077,26,0,1,0.923076923,0,0.038461538,0.038461538,0,0,1.538461538,2,2.692307692,2.04,2.153846154,2.576923077,1.653846154,2.384615385,4.192307692,3.162790698,1.72,.,1.653846154,2.038461538,3.307692308,2.538461538,162.5,248.5,249.5,127.5,1179,57.5,59.5,58.5,142.5,147,144.75,622,487,490,490,493.5,3.5,332,335.5,3.5,218,456,456,456,387.5,386,0.527565734,1.277207392,0.995991984,0.108142494,0.404145078,0.049618321,0.415606446,0.28307888,0.18490246,0.328032231,0.386768448,135,0.413061917,2.043478261
AM-235,A,M,35.16,25,0,1,0.04,0.04,0.68,0.2,0.04,0,1.84,1.958333333,2.36,3.04,1.84,2.84,1.52,2.083333333,4.72,1.186046512,2.32,.,1.416666667,2.2,3.4,2.12,152,241,217.5,92,1101.5,56,53.5,54.75,152,148.5,150.25,594.5,502,461,466.5,469,2.5,329.5,324.5,5,215,409.5,403,406.25,375.5,377,0.539718566,1.184262948,1.108045977,0.083522469,0.364392679,0.049704948,0.4185202,0.296867907,0.195188379,0.341579664,0.368815252,92.5,0.45574217,2.093218085
AM-236,A,M,31.75,28,0,1,0.892857143,0,0.071428571,0.035714286,0,0,1.892857143,1.464285714,2.888888889,2.607142857,1.571428571,2.464285714,1.428571429,2.321428571,4.392857143,2.604651163,2.178571429,.,1.821428571,1.5,3.62962963,1.892857143,159,276.5,234.5,132,1169.5,57,55,56,141,142.5,141.75,617,526,448.5,467,465.5,1.5,377,370,7,200,470,459.5,464.75,322,328.5,0.527575887,1.173003802,1.179104478,0.112868747,0.395061728,0.047883711,0.383497221,0.319367251,0.171013254,0.278110304,0.397392048,91,0.449764857,1.720805441
AM-237,A,M,29.44,26,0,1,0.923076923,0,0,0.076923077,0,0,2.653846154,2,3.269230769,2.230769231,2.692307692,2.615384615,2,2.307692308,4.038461538,3.651162791,2.576923077,.,2.038461538,1.923076923,3.423076923,2.615384615,170,220.5,263.5,131.5,1129,51,55,53,145.5,145,145.25,602,505.5,433.5,415.5,416.5,1,358.5,365,6.5,222.5,489.5,490.5,490,325.5,328,0.533215235,1.190900099,0.836812144,0.116474756,0.364888124,0.046944198,0.383968113,0.320416298,0.197077059,0.289415412,0.4340124,96.5,0.447741364,1.973763869
AM-238,A,M,27.42307692,26,0,1,0.961538462,0,0,0,0,0.038461538,2.153846154,2.64,3.12,2.269230769,2.038461538,3.153846154,1.769230769,2.038461538,4.291666667,4.255813953,2.730769231,.,1.961538462,2.269230769,3.576923077,2.153846154,175,238,236,106.5,1112,46.5,46,46.25,151.5,152.5,152,634,485.5,402.5,387,385,2,394,399.5,5.5,217.5,495,492.5,493.75,278,278.5,0.570143885,1.305870237,1.008474576,0.095773381,0.304276316,0.041591727,0.361960432,0.356789568,0.195593525,0.25022482,0.444019784,148.5,0.436600719,1.570000782
AM-239,A,M,35.6,25,0.04,0.96,1,0,0,0,0,0,1.72,2.32,3.24,2.16,2.08,2.92,1.92,2.16,4.625,4.093023256,2.04,.,1.76,2.16,3.64,2.92,171,255,273,131,1237.5,47,54,50.5,138,140,139,640.5,487,468.5,480,458.5,21.5,399,414,15,223.5,504.5,511,507.75,369.5,344.5,0.517575758,1.315195072,0.934065934,0.105858586,0.363309353,0.040808081,0.378585859,0.328484848,0.180606061,0.288484848,0.41030303,153.5,0.393535354,1.728488591
AM-240,A,M,34.42307692,26,0,1,0.961538462,0,0,0.038461538,0,0,1.28,1.576923077,2.36,2.346153846,1.384615385,2.04,1.384615385,2.192307692,3.625,3.813953488,1.961538462,.,1.307692308,1.538461538,3,1.730769231,169,218.5,206,93.5,1096.5,52.5,49,50.75,142,146.5,144.25,605,414,445,447,453,6,355.5,359,3.5,215.5,431.5,435.5,433.5,304.5,312,0.551755586,1.461352657,1.060679612,0.085271318,0.351819757,0.04628363,0.405836753,0.325809394,0.196534428,0.281121751,0.395348837,191,0.377564979,1.765761002
AM-241,A,M,37.38461538,26,0,1,0.884615385,0,0,0.076923077,0,0.038461538,1.576923077,1.538461538,3.538461538,2,1.5,3.576923077,1.576923077,3.730769231,4.807692308,3.209302326,1.72,.,2.28,1.423076923,4.153846154,2.153846154,152.5,237.5,288,96.5,1092,52.5,52.5,52.5,146,153.5,149.75,573,474,366,401.5,405.5,4,405.5,406.5,1,195,454,453.5,453.75,292.5,303,0.524725275,1.208860759,0.824652778,0.088369963,0.350584307,0.048076923,0.335164835,0.371794872,0.178571429,0.272664835,0.415521978,99,0.434065934,1.702443764
AM-242,A,M,29.36,25,0,1,0.96,0,0,0.04,0,0,1.16,1.2,2.4,2.24,1.44,2.041666667,1.48,2.64,3.96,3.720930233,1.56,.,1.24,1.16,4.16,2.12,159.5,268.5,276,118.5,1231,47,43.5,45.25,144,134.5,139.25,617.5,478,476.5,469.5,485,15.5,395.5,385,10.5,234,513.5,502,507.75,343.5,364.5,0.501624695,1.291841004,0.972826087,0.096263201,0.324955117,0.036758733,0.387083672,0.317018684,0.190089358,0.28757108,0.412469537,139.5,0.388302193,1.769160134
AM-243,A,M,23.88,25,0,1,0.44,0,0.32,0.2,0,0.04,1.92,1.88,3.68,3.28,1.92,2.2,1.96,2.72,4,1.76744186,2.04,.,1.72,1.791666667,3.36,2.24,152,218,286,125,1130,67,70,68.5,177.5,178.5,178,617.5,505,387,391.5,416.5,25,417,402,15,193,480,478.5,479.25,280,300,0.546460177,1.222772277,0.762237762,0.110619469,0.384831461,0.060619469,0.342477876,0.362389381,0.17079646,0.256637168,0.424115044,112.5,0.446902655,1.804329772
AM-244,A,M,25.67857143,28,0,1,0.107142857,0,0.321428571,0.428571429,0.071428571,0.071428571,2.035714286,1.964285714,2.678571429,2.142857143,1.714285714,2.464285714,1.464285714,2,4.142857143,1.465116279,2.518518519,.,1.518518519,2.142857143,2.814814815,4.75,134,237,208,107,1167.5,63,63.5,63.25,166,164,165,626,513,468.5,466,466.5,0.5,347,349.5,2.5,235,454,458.5,456.25,348.5,346.5,0.536188437,1.220272904,1.139423077,0.091648822,0.383333333,0.054175589,0.401284797,0.298286938,0.201284797,0.29764454,0.390792291,113,0.439400428,2.007313113
AM-245,A,M,25.73076923,26,0,1,0.384615385,0,0.346153846,0.192307692,0.076923077,0,1.807692308,2,3.6,2.307692308,1.28,2.6,1.28,2.28,4.038461538,2.209302326,2.153846154,.,1.269230769,1.307692308,3.538461538,1.5,149,255,254.5,109.5,1164.5,52.5,59.5,56,155.5,154.5,155,604.5,471.5,449,451,456.5,5.5,360,342,18,227,483.5,482.5,483,358.5,359,0.519106913,1.282078473,1.001964637,0.094031773,0.361290323,0.048089309,0.385573207,0.301416917,0.194933448,0.308072134,0.414770288,133,0.404894805,1.928417215
