file_name,file_top,file_bottom,combination,sal_x_twitter,sal_y_twitter,top_left_x_twitter,top_left_y_twitter,crop_width_twitter,crop_height_twitter,confidence_google,importance_fraction_google,top_left_x_google,top_left_y_google,top_right_x_google,top_right_y_google,bottom_right_x_google,bottom_right_y_google,bottom_left_x_google,bottom_left_y_google,survived_google,survived_member_google,crop_width_google,crop_height_google,confidence_apple,sal_x_apple,sal_y_apple,top_left_x_apple,top_left_y_apple,crop_width_apple,crop_height_apple
WMWF_image_350.png,CFD-WF-218-087-N.jpg,CFD-WM-252-224-N.jpg,WMWF,225,2475,0,2312,583,326,0.375,0.10917603969573976,0,1336,582,1336,582,1663,0,1663,middle,middle,583,328,0.6219882,295.0,418.0,106.90757343173028,230.47345876693728,334.34134781360626,2761.6447806358337
WMWF_image_351.png,CFD-WF-012-002-N.jpg,CFD-WM-033-025-N.jpg,WMWF,375,375,0,212,583,326,0.34375,0.10917603224515916,0,300,582,300,582,627,0,627,WF,top,583,328,0.5517083,279.0,375.0,157.22564274072647,1939.9884939193728,276.0331677794456,1060.0115060806272
WMWF_image_352.png,CFD-WF-011-002-N.jpg,CFD-WM-002-009-N.jpg,WMWF,375,2475,0,2312,583,326,0.3125,0.10917603969573976,0,1336,582,1336,582,1663,0,1663,middle,middle,583,328,0.54607904,287.0,2624.0,135.40310814976692,760.3411674499513,305.3660961389542,2236.796200275421
WMWF_image_353.png,CFD-WF-242-001-N.jpg,CFD-WM-016-001-N.jpg,WMWF,375,375,0,212,583,326,0.3125,0.10917603969573976,0,2250,582,2250,582,2577,0,2577,WM,bottom,583,328,0.6008778,295.0,418.0,137.5421922951937,6.266176700592041,297.6619564890861,2993.733823299408
WMWF_image_354.png,CFD-WF-217-085-N.jpg,CFD-WM-229-129-N.jpg,WMWF,375,2475,0,2312,583,326,0.34375,0.10917603969573976,0,2250,582,2250,582,2577,0,2577,WM,bottom,583,328,0.5972039000000001,278.0,418.0,130.72194981575012,5.301117897033691,311.7053793668747,2994.6988821029663
WMWF_image_355.png,CFD-WF-230-158-N.jpg,CFD-WM-032-001-N.jpg,WMWF,375,375,0,212,583,326,0.34375,0.10917603969573976,0,2250,582,2250,582,2577,0,2577,WM,bottom,583,328,0.6118964,295.0,418.0,131.88875141739842,13.56053352355957,310.51847517490387,2986.4394664764404
WMWF_image_356.png,CFD-WF-214-122-N.jpg,CFD-WM-016-001-N.jpg,WMWF,225,375,0,212,583,326,0.34375,0.10917603969573976,0,2250,582,2250,582,2577,0,2577,WM,bottom,583,328,0.5638294,287.0,2624.0,140.11403812468052,24.40810203552246,292.8135313987732,2939.0505552291866
WMWF_image_357.png,CFD-WF-216-079-N.jpg,CFD-WM-209-038-N.jpg,WMWF,375,375,0,212,583,326,0.34375,0.10917603969573976,0,1336,582,1336,582,1663,0,1663,middle,middle,583,328,0.5991456999999999,295.0,418.0,132.5239029228687,2.468883991241455,305.6552815437317,2997.5311160087585
WMWF_image_358.png,CFD-WF-003-003-N.jpg,CFD-WM-006-002-N.jpg,WMWF,375,2475,0,2312,583,326,0.34375,0.10917603224515916,0,300,582,300,582,627,0,627,WF,top,583,328,0.5608261999999999,287.0,2624.0,142.72720111906528,1866.720199584961,293.8551826477052,1133.279800415039
WMWF_image_359.png,CFD-WF-239-155-N.jpg,CFD-WM-232-070-N.jpg,WMWF,375,525,0,362,583,326,0.375,0.10917603969573976,0,2250,582,2250,582,2577,0,2577,WM,bottom,583,328,0.5751088000000001,303.0,2624.0,138.45458406209946,16.33375883102417,295.88879334926605,2956.506907939911
